difficulty,diff_description
1,_inverted0_sidewards0_disturbed0_backward0_path_diff0.0
4,_inverted0_sidewards0_disturbed0_backward1_path_diff0.0
7,_inverted0_sidewards0_disturbed1_backward0_path_diff0.0
10,_inverted0_sidewards0_disturbed1_backward1_path_diff0.0
2,_inverted0_sidewards0_disturbed0_backward0_path_diff1.0
5,_inverted0_sidewards0_disturbed0_backward1_path_diff1.0
6,_inverted0_sidewards0_disturbed0_backward1_path_diff2.0
3,_inverted0_sidewards0_disturbed0_backward0_path_diff2.0
8,_inverted0_sidewards0_disturbed1_backward0_path_diff1.0
13,_inverted1_sidewards1_disturbed0_backward0_path_diff0.0
15,_inverted1_sidewards1_disturbed0_backward1_path_diff0.0
16,_inverted1_sidewards1_disturbed0_backward1_path_diff1.0
14,_inverted1_sidewards1_disturbed0_backward0_path_diff1.0
11,_inverted0_sidewards0_disturbed1_backward1_path_diff1.0
9,_inverted0_sidewards0_disturbed1_backward0_path_diff2.0
12,_inverted0_sidewards0_disturbed1_backward1_path_diff2.0
17,_inverted1_sidewards1_disturbed1_backward0_path_diff0.0
18,_inverted1_sidewards1_disturbed1_backward1_path_diff0.0
